cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count,frame
LIGHT_TRACK,1.527,0,766.0,6.0,1.111,12,1020
LIGHT_TRACK,1.431,0,717.0,7.5,1.667,10,1026
SMALL_BLOB,0.126,0,63.0,1,1,1,1043
SMALL_BLOB,0.256,0,128.0,1,1,1,1056
SMALL_BLOB,0.294,0,147.0,1,1,2,1057
SMALL_BLOB,0.216,0,108.0,1,1,2,1071
STRAIGHT_TRACK,1.602,0,806.0,11.6,1.255,14,1079
SMALL_BLOB,0.124,0,62.0,1,1,1,1079
SMALL_BLOB,0.214,0,107.0,1,1,2,1100
SMALL_BLOB,0.1,0,50.0,1,1,1,1101
LIGHT_TRACK,1.808,0,904.0,3.0,0.917,11,1103
STRAIGHT_TRACK,1.112,0,557.0,9.0,2.0,9,1113
SMALL_BLOB,0.096,0,48.0,1,1,1,1116
LIGHT_TRACK,1.171,0,586.0,3.333,1.667,5,1116
SMALL_BLOB,0.072,0,36.0,1,1,1,1121
SMALL_BLOB,0.454,0,227.0,1,1,2,1123
SMALL_BLOB,0.808,0,404.0,1.0,3.0,3,1123
LIGHT_TRACK,1.354,0,678.0,4.5,1.444,8,1128
STRAIGHT_TRACK,3.133,0,1598.0,15.632,0.889,23,1130
SMALL_BLOB,0.122,0,61.0,1,1,1,1145
SMALL_BLOB,0.826,0,413.0,1,1,2,1146
SMALL_BLOB,0.228,0,114.0,1,1,2,1147
SMALL_BLOB,0.128,0,64.0,1,1,1,1147
SMALL_BLOB,0.226,0,113.0,1,1,1,1147
SMALL_BLOB,0.324,0,162.0,1,1,2,1149
STRAIGHT_TRACK,1.685,0,848.0,12.333,1.351,15,1152
SMALL_BLOB,0.004,0,2.0,1,1,1,1152
LIGHT_TRACK,1.801,0,902.0,3.625,1.0,8,1153
LIGHT_TRACK,1.327,0,665.0,7.0,1.607,9,1157
SMALL_BLOB,0.402,0,201.0,1,1,2,1157
LIGHT_TRACK,0.878,0,440.0,1,1,6,1158
SMALL_BLOB,0.136,0,68.0,1,1,1,1166
LIGHT_TRACK,0.806,0,403.0,2.0,2.5,5,1172
SMALL_BLOB,0.675,0,338.0,4.0,2.0,4,1178
LIGHT_TRACK,0.917,0,459.0,1,1,5,1181
STRAIGHT_TRACK,1.463,0,735.0,9.0,1.264,14,1184
HEAVY_BLOB,19.117,8,9563.0,1.0,1.444,13,1185
LIGHT_TRACK,1.47,2,735.0,4.0,2.0,8,1191
SMALL_BLOB,0.638,0,319.0,1.0,3.0,3,1193
SMALL_BLOB,0.879,0,440.0,2.0,2.0,4,1196
SMALL_BLOB,0.152,0,76.0,1,1,1,1200
SMALL_BLOB,0.124,0,62.0,1,1,1,1202
SMALL_BLOB,0.426,0,213.0,1,1,2,1206
SMALL_BLOB,0.014,0,7.0,1,1,1,1208
LIGHT_TRACK,0.977,0,489.0,5.0,2.4,6,1208
STRAIGHT_TRACK,1.568,0,787.0,10.333,1.538,11,1217
LIGHT_TRACK,0.84,0,420.0,4.0,2.5,5,1221
SMALL_BLOB,0.302,0,151.0,1,1,2,1222
SMALL_BLOB,0.744,0,372.0,1.0,3.0,3,1224
LIGHT_TRACK,1.292,2,646.0,2.0,3.0,6,1233
SMALL_BLOB,0.102,0,51.0,1,1,1,1234
LIGHT_TRACK,0.938,0,469.0,4.0,2.5,5,1237
SMALL_BLOB,0.646,0,323.0,1,1,2,1239
LIGHT_TRACK,1.367,0,685.0,7.167,1.291,9,1242
SMALL_BLOB,0.08,0,40.0,1,1,1,1244
LIGHT_TRACK,1.104,0,553.0,6.5,1.731,9,1254
LIGHT_TRACK,1.118,0,560.0,4.0,1.125,9,1267
STRAIGHT_TRACK,1.497,0,752.0,14.0,1.857,13,1276
SMALL_BLOB,0.188,0,94.0,1,1,2,1280
STRAIGHT_TRACK,1.628,0,818.0,9.143,1.281,14,1294
LIGHT_TRACK,3.32,2,1672.0,2.977,0.411,20,1296
LIGHT_TRACK,1.574,0,789.0,6.0,1.343,10,1304
SMALL_BLOB,0.448,0,224.0,2.0,2.0,4,1306
LIGHT_TRACK,1.026,0,513.0,2.0,2.5,5,1307
SMALL_BLOB,0.168,0,84.0,1,1,1,1308
SMALL_BLOB,0.426,0,213.0,1.0,4.0,4,1318
SMALL_BLOB,0.19,0,95.0,1,1,1,1322
LIGHT_TRACK,1.647,2,824.0,3.0,2.333,7,1330
