cluster_type,LET,inner_pixels,energy,lw_ratio,density,pixel_count
SMALL_BLOB,0.026,0,13.0,1,1,1
SMALL_BLOB,0.508,0,254.0,1.0,4.0,4
SMALL_BLOB,0.743,0,372.0,4.0,2.0,4
SMALL_BLOB,0.763,0,382.0,2.0,2.0,4
SMALL_BLOB,0.142,0,71.0,1,1,1
LIGHT_TRACK,2.823,3,1416.0,2.75,0.818,18
SMALL_BLOB,0.386,0,193.0,1,1,2
SMALL_BLOB,0.166,0,83.0,1,1,1
SMALL_BLOB,0.246,0,123.0,1,1,1
LIGHT_TRACK,1.337,0,670.0,6.667,1.5,9
STRAIGHT_TRACK,2.636,0,1338.0,10.68,0.698,20
SMALL_BLOB,0.778,0,389.0,1.0,3.0,3
SMALL_BLOB,0.214,0,107.0,1,1,1
STRAIGHT_TRACK,1.843,0,925.0,8.667,1.199,11
SMALL_BLOB,0.316,0,158.0,1.0,3.0,3
LIGHT_TRACK,1.651,0,827.0,4.0,1.25,10
SMALL_BLOB,0.188,0,94.0,1,1,1
STRAIGHT_TRACK,1.638,0,823.0,9.0,1.264,14
HEAVY_TRACK,3.679,10,1847.0,4.5,1.056,19
LIGHT_TRACK,2.393,0,1207.0,3.145,0.382,21
SMALL_BLOB,0.308,0,154.0,1,1,2
SMALL_BLOB,0.148,0,74.0,1,1,1
LIGHT_TRACK,1.241,0,621.0,2.75,1.591,7
STRAIGHT_TRACK,1.162,0,582.0,8.0,2.0,8
LIGHT_TRACK,1.155,0,578.0,4.5,1.667,6
SMALL_BLOB,0.08,0,40.0,1,1,1
SMALL_BLOB,0.098,0,49.0,1,1,1
SMALL_BLOB,0.046,0,23.0,1,1,1
SMALL_BLOB,0.392,0,196.0,1,1,2
LIGHT_TRACK,1.29,0,646.0,6.0,1.458,7
SMALL_BLOB,0.812,0,406.0,1,1,3
SMALL_BLOB,0.28,0,140.0,1,1,2
SMALL_BLOB,0.218,0,109.0,1,1,1
HEAVY_TRACK,2.047,7,1025.0,2.2,1.182,13
SMALL_BLOB,0.596,0,298.0,1,1,2
SMALL_BLOB,0.39,0,195.0,1,1,2
SMALL_BLOB,0.216,0,108.0,1,1,1
SMALL_BLOB,0.2,0,100.0,1,1,2
SMALL_BLOB,0.254,0,127.0,1,1,2
SMALL_BLOB,0.11,0,55.0,1,1,2
SMALL_BLOB,0.088,0,44.0,1,1,1
SMALL_BLOB,0.13,0,65.0,1,1,1
SMALL_BLOB,0.188,0,94.0,1,1,2
SMALL_BLOB,0.234,0,117.0,1,1,2
SMALL_BLOB,0.044,0,22.0,1,1,1
SMALL_BLOB,0.154,0,77.0,1,1,1
SMALL_BLOB,0.736,0,368.0,1.0,3.0,3
SMALL_BLOB,0.436,0,218.0,1,1,2
SMALL_BLOB,0.526,0,263.0,1,1,2
SMALL_BLOB,0.154,0,77.0,1,1,2
SMALL_BLOB,0.918,0,459.0,1.0,3.0,3
STRAIGHT_TRACK,1.539,0,773.0,9.0,1.271,12
SMALL_BLOB,0.356,0,178.0,1,1,2
SMALL_BLOB,0.737,0,369.0,2.0,2.0,4
